Distrito/Ilha,Concelho,Freguesia Pré RATF,Alteração RATF,Freguesia Final (Pós RATF)
Bragança,Macedo de Cavaleiros,Talhinhas,Agregação,União das freguesias de Talhinhas e Bagueixe
Bragança,Macedo de Cavaleiros,Bagueixe,Agregação,União das freguesias de Talhinhas e Bagueixe
Bragança,Miranda do Douro,Duas Igrejas,Sem alteração,Duas Igrejas
Bragança,Miranda do Douro,Genísio,Sem alteração,Genísio
Bragança,Miranda do Douro,Malhadas,Sem alteração,Malhadas
Bragança,Miranda do Douro,Miranda do Douro,Sem alteração,Miranda do Douro
Bragança,Miranda do Douro,Palaçoulo,Sem alteração,Palaçoulo
Bragança,Miranda do Douro,Picote,Sem alteração,Picote
Bragança,Miranda do Douro,Póvoa,Sem alteração,Póvoa
Bragança,Miranda do Douro,São Martinho de Angueira,Sem alteração,São Martinho de Angueira
Bragança,Miranda do Douro,Vila Chã de Braciosa,Sem alteração,Vila Chã de Braciosa
Bragança,Miranda do Douro,Constantim,Agregação,União das freguesias de Constantim e Cicouro
Bragança,Miranda do Douro,Cicouro,Agregação,União das freguesias de Constantim e Cicouro
Bragança,Miranda do Douro,Ifanes,Agregação,União das freguesias de Ifanes e Paradela
Bragança,Miranda do Douro,Paradela,Agregação,União das freguesias de Ifanes e Paradela
Bragança,Miranda do Douro,Sendim,Agregação,União das freguesias de Sendim e Atenor
Bragança,Miranda do Douro,Atenor,Agregação,União das freguesias de Sendim e Atenor
Bragança,Miranda do Douro,Silva,Agregação,União das freguesias de Silva e Águas Vivas
Bragança,Miranda do Douro,Águas Vivas,Agregação,União das freguesias de Silva e Águas Vivas
Bragança,Mirandela,Abambres,Sem alteração,Abambres
Bragança,Mirandela,Abreiro,Sem alteração,Abreiro
Bragança,Mirandela,Aguieiras,Sem alteração,Aguieiras
Bragança,Mirandela,Alvites,Sem alteração,Alvites
Bragança,Mirandela,Bouça,Sem alteração,Bouça
Bragança,Mirandela,Cabanelas,Sem alteração,Cabanelas
Bragança,Mirandela,Caravelas,Sem alteração,Caravelas
Bragança,Mirandela,Carvalhais,Sem alteração,Carvalhais
Bragança,Mirandela,Cedães,Sem alteração,Cedães
Bragança,Mirandela,Cobro,Sem alteração,Cobro
Bragança,Mirandela,Fradizela,Sem alteração,Fradizela
Bragança,Mirandela,Frechas,Sem alteração,Frechas
Bragança,Mirandela,Lamas de Orelhão,Sem alteração,Lamas de Orelhão
Bragança,Mirandela,Mascarenhas,Sem alteração,Mascarenhas
Bragança,Mirandela,Mirandela,Sem alteração,Mirandela
Bragança,Mirandela,Múrias,Sem alteração,Múrias
Bragança,Mirandela,Passos,Sem alteração,Passos
Bragança,Mirandela,São Pedro Velho,Sem alteração,São Pedro Velho
Bragança,Mirandela,São Salvador,Sem alteração,São Salvador
Bragança,Mirandela,Suçães,Sem alteração,Suçães
Bragança,Mirandela,Torre de Dona Chama,Sem alteração,Torre de Dona Chama
Bragança,Mirandela,Vale de Asnes,Sem alteração,Vale de Asnes
Bragança,Mirandela,Vale de Gouvinhas,Sem alteração,Vale de Gouvinhas
Bragança,Mirandela,Vale de Salgueiro,Sem alteração,Vale de Salgueiro
Bragança,Mirandela,Vale de Telhas,Sem alteração,Vale de Telhas
Bragança,Mirandela,Romeu,Agregação,União das freguesias de Avantos e Romeu
Bragança,Mirandela,Avantos,Agregação,União das freguesias de Avantos e Romeu
Bragança,Mirandela,Avidagos,Agregação,"União das freguesias de Avidagos, Navalho e Pereira"
Bragança,Mirandela,Navalho,Agregação,"União das freguesias de Avidagos, Navalho e Pereira"
Bragança,Mirandela,Pereira,Agregação,"União das freguesias de Avidagos, Navalho e Pereira"
Bragança,Mirandela,Marmelos,Agregação,"União das freguesias de Barcel, Marmelos e Valverde da Gestosa"
Bragança,Mirandela,Barcel,Agregação,"União das freguesias de Barcel, Marmelos e Valverde da Gestosa"
Bragança,Mirandela,Valverde,Agregação,"União das freguesias de Barcel, Marmelos e Valverde da Gestosa"
Bragança,Mirandela,Franco,Agregação,União das freguesias de Franco e Vila Boa
Bragança,Mirandela,Vila Boa,Agregação,União das freguesias de Franco e Vila Boa
Bragança,Mirandela,Vila Verde,Agregação,União das freguesias de Freixeda e Vila Verde
Bragança,Mirandela,Freixeda,Agregação,União das freguesias de Freixeda e Vila Verde
Bragança,Mogadouro,Azinhoso,Sem alteração,Azinhoso
Bragança,Mogadouro,Bemposta,Sem alteração,Bemposta
Bragança,Mogadouro,Bruçó,Sem alteração,Bruçó
Bragança,Mogadouro,Brunhoso,Sem alteração,Brunhoso
Bragança,Mogadouro,Castelo Branco,Sem alteração,Castelo Branco
Bragança,Mogadouro,Castro Vicente,Sem alteração,Castro Vicente
Bragança,Mogadouro,Meirinhos,Sem alteração,Meirinhos
Bragança,Mogadouro,Paradela,Sem alteração,Paradela
Bragança,Mogadouro,Penas Roias,Sem alteração,Penas Roias
Bragança,Mogadouro,Peredo da Bemposta,Sem alteração,Peredo da Bemposta
Bragança,Mogadouro,Saldanha,Sem alteração,Saldanha
Bragança,Mogadouro,São Martinho do Peso,Sem alteração,São Martinho do Peso
Bragança,Mogadouro,Tó,Sem alteração,Tó
Bragança,Mogadouro,Travanca,Sem alteração,Travanca
Bragança,Mogadouro,Urrós,Sem alteração,Urrós
Bragança,Mogadouro,Vale da Madre,Sem alteração,Vale da Madre
Bragança,Mogadouro,Vila de Ala,Sem alteração,Vila de Ala
Bragança,Mogadouro,Sanhoane,Agregação,"União das freguesias de Brunhozinho, Castanheira e Sanhoane"
Bragança,Mogadouro,Brunhozinho,Agregação,"União das freguesias de Brunhozinho, Castanheira e Sanhoane"
Bragança,Mogadouro,Castanheira,Agregação,"União das freguesias de Brunhozinho, Castanheira e Sanhoane"
Bragança,Mogadouro,Mogadouro,Agregação,"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei"
Bragança,Mogadouro,Valverde,Agregação,"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei"
Bragança,Mogadouro,Vale de Porco,Agregação,"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei"
Bragança,Mogadouro,Vilar de Rei,Agregação,"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei"
Bragança,Mogadouro,Remondes,Agregação,União das freguesias de Remondes e Soutelo
Bragança,Mogadouro,Soutelo,Agregação,União das freguesias de Remondes e Soutelo
Bragança,Mogadouro,Vilarinho dos Galegos,Agregação,União das freguesias de Vilarinho dos Galegos e Ventozelo
Bragança,Mogadouro,Ventozelo,Agregação,União das freguesias de Vilarinho dos Galegos e Ventozelo
Bragança,Torre de Moncorvo,Açoreira,Sem alteração,Açoreira
Bragança,Torre de Moncorvo,Cabeça Boa,Sem alteração,Cabeça Boa
Bragança,Torre de Moncorvo,Carviçais,Sem alteração,Carviçais
Bragança,Torre de Moncorvo,Castedo,Sem alteração,Castedo
Bragança,Torre de Moncorvo,Horta da Vilariça,Sem alteração,Horta da Vilariça
Bragança,Torre de Moncorvo,Larinho,Sem alteração,Larinho
Bragança,Torre de Moncorvo,Lousa,Sem alteração,Lousa
Bragança,Torre de Moncorvo,Mós,Sem alteração,Mós
Bragança,Torre de Moncorvo,Torre de Moncorvo,Sem alteração,Torre de Moncorvo
Bragança,Torre de Moncorvo,Adeganha,Agregação,União das freguesias de Adeganha e Cardanha
Bragança,Torre de Moncorvo,Cardanha,Agregação,União das freguesias de Adeganha e Cardanha
Bragança,Torre de Moncorvo,Felgar,Agregação,União das freguesias de Felgar e Souto da Velha
Bragança,Torre de Moncorvo,Souto da Velha,Agregação,União das freguesias de Felgar e Souto da Velha
Bragança,Torre de Moncorvo,Felgueiras,Agregação,União das freguesias de Felgueiras e Maçores
Bragança,Torre de Moncorvo,Maçores,Agregação,União das freguesias de Felgueiras e Maçores
Bragança,Torre de Moncorvo,Urros,Agregação,União das freguesias de Urros e Peredo dos Castelhanos
Bragança,Torre de Moncorvo,Peredo dos Castelhanos,Agregação,União das freguesias de Urros e Peredo dos Castelhanos
Bragança,Vila Flor,Benlhevai,Sem alteração,Benlhevai
Bragança,Vila Flor,Freixiel,Sem alteração,Freixiel
Bragança,Vila Flor,Roios,Sem alteração,Roios
Bragança,Vila Flor,Samões,Sem alteração,Samões
Bragança,Vila Flor,Sampaio,Sem alteração,Sampaio
Bragança,Vila Flor,Santa Comba de Vilariça,Sem alteração,Santa Comba de Vilariça
Bragança,Vila Flor,Seixo de Manhoses,Sem alteração,Seixo de Manhoses
Bragança,Vila Flor,Trindade,Sem alteração,Trindade
Bragança,Vila Flor,Vale Frechoso,Sem alteração,Vale Frechoso
Bragança,Vila Flor,Assares,Agregação,União das freguesias de Assares e Lodões
Bragança,Vila Flor,Lodões,Agregação,União das freguesias de Assares e Lodões
Bragança,Vila Flor,Candoso,Agregação,União das freguesias de Candoso e Carvalho de Egas
Bragança,Vila Flor,Carvalho de Egas,Agregação,União das freguesias de Candoso e Carvalho de Egas
Bragança,Vila Flor,Valtorno,Agregação,União das freguesias de Valtorno e Mourão
Bragança,Vila Flor,Mourão,Agregação,União das freguesias de Valtorno e Mourão
Bragança,Vila Flor,Vila Flor,Agregação,União das freguesias de Vila Flor e Nabo
Bragança,Vila Flor,Nabo,Agregação,União das freguesias de Vila Flor e Nabo
Bragança,Vila Flor,Vilas Boas,Agregação,União das freguesias de Vilas Boas e Vilarinho das Azenhas
Bragança,Vila Flor,Vilarinho das Azenhas,Agregação,União das freguesias de Vilas Boas e Vilarinho das Azenhas
Bragança,Vimioso,Argozelo,Sem alteração,Argozelo
Bragança,Vimioso,Carção,Sem alteração,Carção
Bragança,Vimioso,Matela,Sem alteração,Matela
Bragança,Vimioso,Pinelo,Sem alteração,Pinelo
Bragança,Vimioso,Santulhão,Sem alteração,Santulhão
Bragança,Vimioso,Vilar Seco,Sem alteração,Vilar Seco
Bragança,Vimioso,Vimioso,Sem alteração,Vimioso
Bragança,Vimioso,Algoso,Agregação,"União das freguesias de Algoso, Campo de Víboras e Uva"
Bragança,Vimioso,Campo de Víboras,Agregação,"União das freguesias de Algoso, Campo de Víboras e Uva"
Bragança,Vimioso,Uva,Agregação,"União das freguesias de Algoso, Campo de Víboras e Uva"
Bragança,Vimioso,Caçarelhos,Agregação,União das freguesias de Caçarelhos e Angueira
Bragança,Vimioso,Angueira,Agregação,União das freguesias de Caçarelhos e Angueira
Bragança,Vimioso,Avelanoso,Agregação,União das freguesias de Vale de Frades e Avelanoso
Bragança,Vimioso,Vale de Frades,Agregação,União das freguesias de Vale de Frades e Avelanoso
Bragança,Vinhais,Agrochão,Sem alteração,Agrochão
Bragança,Vinhais,Candedo,Sem alteração,Candedo
Bragança,Vinhais,Celas,Sem alteração,Celas
Bragança,Vinhais,Edral,Sem alteração,Edral
Bragança,Vinhais,Edrosa,Sem alteração,Edrosa
Bragança,Vinhais,Ervedosa,Sem alteração,Ervedosa
Bragança,Vinhais,Paçó,Sem alteração,Paçó
Bragança,Vinhais,Penhas Juntas,Sem alteração,Penhas Juntas
Bragança,Vinhais,Rebordelo,Sem alteração,Rebordelo
Bragança,Vinhais,Santalha,Sem alteração,Santalha
Bragança,Vinhais,Tuizelo,Sem alteração,Tuizelo
Bragança,Vinhais,Vale das Fontes,Sem alteração,Vale das Fontes
Bragança,Vinhais,Vila Boa de Ousilhão,Sem alteração,Vila Boa de Ousilhão
Bragança,Vinhais,Vila Verde,Sem alteração,Vila Verde
Bragança,Vinhais,Vilar de Ossos,Sem alteração,Vilar de Ossos
Bragança,Vinhais,Vilar de Peregrinos,Sem alteração,Vilar de Peregrinos
Bragança,Vinhais,Vilar Seco de Lomba,Sem alteração,Vilar Seco de Lomba
Bragança,Vinhais,Vinhais,Sem alteração,Vinhais
Bragança,Vinhais,Curopos,Agregação,União das freguesias de Curopos e Vale de Janeiro
Bragança,Vinhais,Vale de Janeiro,Agregação,União das freguesias de Curopos e Vale de Janeiro
Bragança,Vinhais,Moimenta,Agregação,União das freguesias de Moimenta e Montouto
Bragança,Vinhais,Montouto,Agregação,União das freguesias de Moimenta e Montouto
Bragança,Vinhais,Nunes,Agregação,União das freguesias de Nunes e Ousilhão
Bragança,Vinhais,Ousilhão,Agregação,União das freguesias de Nunes e Ousilhão
Bragança,Vinhais,Quirás,Agregação,União das freguesias de Quirás e Pinheiro Novo
Bragança,Vinhais,Pinheiro Novo,Agregação,União das freguesias de Quirás e Pinheiro Novo
Bragança,Vinhais,Sobreiro de Baixo,Agregação,União das freguesias de Sobreiro de Baixo e Alvaredos
Bragança,Vinhais,Alvaredos,Agregação,União das freguesias de Sobreiro de Baixo e Alvaredos
Bragança,Vinhais,Fresulfe,Agregação,"União das freguesias de Soeira, Fresulfe e Mofreita"
Bragança,Vinhais,Soeira,Agregação,"União das freguesias de Soeira, Fresulfe e Mofreita"
Bragança,Vinhais,Mofreita,Agregação,"União das freguesias de Soeira, Fresulfe e Mofreita"
Bragança,Vinhais,Travanca,Agregação,União das freguesias de Travanca e Santa Cruz
Bragança,Vinhais,Santa Cruz,Agregação,União das freguesias de Travanca e Santa Cruz
Bragança,Vinhais,Vilar de Lomba,Agregação,União das freguesias de Vilar de Lomba e São Jomil
Bragança,Vinhais,São Jomil,Agregação,União das freguesias de Vilar de Lomba e São Jomil
Castelo Branco,Belmonte,Caria,Sem alteração,Caria
Castelo Branco,Belmonte,Inguias,Sem alteração,Inguias
Castelo Branco,Belmonte,Maçainhas,Sem alteração,Maçainhas
Castelo Branco,Belmonte,Belmonte,Agregação,União das freguesias de Belmonte e Colmeal da Torre
Castelo Branco,Belmonte,Colmeal da Torre,Agregação,União das freguesias de Belmonte e Colmeal da Torre
Castelo Branco,Castelo Branco,Alcains,Sem alteração,Alcains
Castelo Branco,Castelo Branco,Almaceda,Sem alteração,Almaceda
Castelo Branco,Castelo Branco,Benquerenças,Sem alteração,Benquerenças
Castelo Branco,Castelo Branco,Castelo Branco,Sem alteração,Castelo Branco
Castelo Branco,Castelo Branco,Lardosa,Sem alteração,Lardosa
Castelo Branco,Castelo Branco,Louriçal do Campo,Sem alteração,Louriçal do Campo
Castelo Branco,Castelo Branco,Malpica do Tejo,Sem alteração,Malpica do Tejo
Castelo Branco,Castelo Branco,Monforte da Beira,Sem alteração,Monforte da Beira
Castelo Branco,Castelo Branco,Salgueiro do Campo,Sem alteração,Salgueiro do Campo
Castelo Branco,Castelo Branco,Santo André das Tojeiras,Sem alteração,Santo André das Tojeiras
Castelo Branco,Castelo Branco,São Vicente da Beira,Sem alteração,São Vicente da Beira
Castelo Branco,Castelo Branco,Sarzedas,Sem alteração,Sarzedas
Castelo Branco,Castelo Branco,Tinalhas,Sem alteração,Tinalhas
Castelo Branco,Castelo Branco,Cebolais de Cima,Agregação,União das freguesias de Cebolais de Cima e Retaxo
Castelo Branco,Castelo Branco,Retaxo,Agregação,União das freguesias de Cebolais de Cima e Retaxo
Castelo Branco,Castelo Branco,Escalos de Baixo,Agregação,União das freguesias de Escalos de Baixo e Mata
Castelo Branco,Castelo Branco,Mata,Agregação,União das freguesias de Escalos de Baixo e Mata
Castelo Branco,Castelo Branco,Escalos de Cima,Agregação,União das freguesias de Escalos de Cima e Lousa
Castelo Branco,Castelo Branco,Lousa,Agregação,União das freguesias de Escalos de Cima e Lousa
Castelo Branco,Castelo Branco,Freixial do Campo,Agregação,União das freguesias de Freixial e Juncal do Campo
Castelo Branco,Castelo Branco,Juncal do Campo,Agregação,União das freguesias de Freixial e Juncal do Campo
Castelo Branco,Castelo Branco,Ninho do Açor,Agregação,União das freguesias de Ninho do Açor e Sobral do Campo
Castelo Branco,Castelo Branco,Sobral do Campo,Agregação,União das freguesias de Ninho do Açor e Sobral do Campo
Castelo Branco,Castelo Branco,Póvoa de Rio de Moinhos,Agregação,União das freguesias de Póvoa de Rio de Moinhos e Cafede
Castelo Branco,Castelo Branco,Cafede,Agregação,União das freguesias de Póvoa de Rio de Moinhos e Cafede
Castelo Branco,Covilhã,Aldeia de São Francisco de Assis,Sem alteração,Aldeia de São Francisco de Assis
Castelo Branco,Covilhã,Boidobra,Sem alteração,Boidobra
Castelo Branco,Covilhã,Cortes do Meio,Sem alteração,Cortes do Meio
Castelo Branco,Covilhã,Dominguizo,Sem alteração,Dominguizo
Castelo Branco,Covilhã,Erada,Sem alteração,Erada
Castelo Branco,Covilhã,Ferro,Sem alteração,Ferro
Castelo Branco,Covilhã,Orjais,Sem alteração,Orjais
Castelo Branco,Covilhã,Paul,Sem alteração,Paul
Castelo Branco,Covilhã,Peraboa,Sem alteração,Peraboa
Castelo Branco,Covilhã,São Jorge da Beira,Sem alteração,São Jorge da Beira
Castelo Branco,Covilhã,Sobral de São Miguel,Sem alteração,Sobral de São Miguel
Castelo Branco,Covilhã,Tortosendo,Sem alteração,Tortosendo
Castelo Branco,Covilhã,Unhais da Serra,Sem alteração,Unhais da Serra
Castelo Branco,Covilhã,Verdelhos,Sem alteração,Verdelhos
Castelo Branco,Covilhã,Barco,Agregação,União das freguesias de Barco e Coutada
Castelo Branco,Covilhã,Coutada,Agregação,União das freguesias de Barco e Coutada
Castelo Branco,Covilhã,Vila do Carvalho,Agregação,União das freguesias de Cantar-Galo e Vila do Carvalho
Castelo Branco,Covilhã,Cantar-Galo,Agregação,União das freguesias de Cantar-Galo e Vila do Carvalho
Castelo Branco,Covilhã,Casegas,Agregação,União das freguesias de Casegas e Ourondo
Castelo Branco,Covilhã,Ourondo,Agregação,União das freguesias de Casegas e Ourondo
Castelo Branco,Covilhã,Covilhã (Conceição),Agregação,União das freguesias de Covilhã e Canhoso
Castelo Branco,Covilhã,Canhoso,Agregação,União das freguesias de Covilhã e Canhoso
Castelo Branco,Covilhã,Covilhã (Santa Maria),Agregação,União das freguesias de Covilhã e Canhoso
Castelo Branco,Covilhã,Covilhã (São Martinho),Agregação,União das freguesias de Covilhã e Canhoso
Castelo Branco,Covilhã,Covilhã (São Pedro),Agregação,União das freguesias de Covilhã e Canhoso
Castelo Branco,Covilhã,Peso,Agregação,União das freguesias de Peso e Vales do Rio
Castelo Branco,Covilhã,Vales do Rio,Agregação,União das freguesias de Peso e Vales do Rio
Castelo Branco,Covilhã,Teixoso,Agregação,União das freguesias de Teixoso e Sarzedo
Castelo Branco,Covilhã,Sarzedo,Agregação,União das freguesias de Teixoso e Sarzedo
Castelo Branco,Covilhã,Vale Formoso,Agregação,União das freguesias de Vale Formoso e Aldeia do Souto
Castelo Branco,Covilhã,Aldeia do Souto,Agregação,União das freguesias de Vale Formoso e Aldeia do Souto
Castelo Branco,Fundão,Alcaide,Sem alteração,Alcaide
Castelo Branco,Fundão,Alcaria,Sem alteração,Alcaria
Castelo Branco,Fundão,Alcongosta,Sem alteração,Alcongosta
Castelo Branco,Fundão,Alpedrinha,Sem alteração,Alpedrinha
Castelo Branco,Fundão,Barroca,Sem alteração,Barroca
Castelo Branco,Fundão,Bogas de Cima,Sem alteração,Bogas de Cima
Castelo Branco,Fundão,Capinha,Sem alteração,Capinha
Castelo Branco,Fundão,Castelejo,Sem alteração,Castelejo
Castelo Branco,Fundão,Castelo Novo,Sem alteração,Castelo Novo
Castelo Branco,Fundão,Fatela,Sem alteração,Fatela
Castelo Branco,Fundão,Lavacolhos,Sem alteração,Lavacolhos
Castelo Branco,Fundão,Orca,Sem alteração,Orca
Castelo Branco,Fundão,Pêro Viseu,Sem alteração,Pêro Viseu
Castelo Branco,Fundão,Silvares,Sem alteração,Silvares
Castelo Branco,Fundão,Soalheira,Sem alteração,Soalheira
Castelo Branco,Fundão,Souto da Casa,Sem alteração,Souto da Casa
Castelo Branco,Fundão,Telhado,Sem alteração,Telhado
Castelo Branco,Fundão,Enxames,Sem alteração,Enxames
Castelo Branco,Fundão,Salgueiro,Agregação,Três Povos
Castelo Branco,Fundão,Escarigo,Agregação,Três Povos
Castelo Branco,Fundão,Janeiro de Cima,Agregação,União das freguesias de Janeiro de Cima e Bogas de Baixo
Castelo Branco,Fundão,Bogas de Baixo,Agregação,União das freguesias de Janeiro de Cima e Bogas de Baixo
Castelo Branco,Fundão,Fundão,Agregação,"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo"
Castelo Branco,Fundão,Valverde,Agregação,"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo"
Castelo Branco,Fundão,Donas,Agregação,"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo"
Castelo Branco,Fundão,Aldeia de Joanes,Agregação,"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo"
Castelo Branco,Fundão,Aldeia Nova do Cabo,Agregação,"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo"
Castelo Branco,Fundão,Póvoa de Atalaia,Agregação,União das freguesias de Póvoa de Atalaia e Atalaia do Campo
Castelo Branco,Fundão,Atalaia do Campo,Agregação,União das freguesias de Póvoa de Atalaia e Atalaia do Campo
Castelo Branco,Fundão,Vale de Prazeres,Agregação,União das freguesias de Vale de Prazeres e Mata da Rainha
Castelo Branco,Fundão,Mata da Rainha,Agregação,União das freguesias de Vale de Prazeres e Mata da Rainha
Castelo Branco,Idanha-a-Nova,Aldeia de Santa Margarida,Sem alteração,Aldeia de Santa Margarida
Castelo Branco,Idanha-a-Nova,Ladoeiro,Sem alteração,Ladoeiro
Castelo Branco,Idanha-a-Nova,Medelim,Sem alteração,Medelim
Castelo Branco,Idanha-a-Nova,Oledo,Sem alteração,Oledo
Castelo Branco,Idanha-a-Nova,Penha Garcia,Sem alteração,Penha Garcia
Castelo Branco,Idanha-a-Nova,Proença-a-Velha,Sem alteração,Proença-a-Velha
Castelo Branco,Idanha-a-Nova,Rosmaninhal,Sem alteração,Rosmaninhal
Castelo Branco,Idanha-a-Nova,São Miguel de Acha,Sem alteração,São Miguel de Acha
Castelo Branco,Idanha-a-Nova,Toulões,Sem alteração,Toulões
Castelo Branco,Idanha-a-Nova,Idanha-a-Nova,Agregação,União das freguesias de Idanha-a-Nova e Alcafozes
Castelo Branco,Idanha-a-Nova,Alcafozes,Agregação,União das freguesias de Idanha-a-Nova e Alcafozes
Castelo Branco,Idanha-a-Nova,Monfortinho,Agregação,União das freguesias de Monfortinho e Salvaterra do Extremo
Castelo Branco,Idanha-a-Nova,Salvaterra do Extremo,Agregação,União das freguesias de Monfortinho e Salvaterra do Extremo
Castelo Branco,Idanha-a-Nova,Monsanto,Agregação,União das freguesias de Monsanto e Idanha-a-Velha
Castelo Branco,Idanha-a-Nova,Idanha-a-Velha,Agregação,União das freguesias de Monsanto e Idanha-a-Velha
Castelo Branco,Idanha-a-Nova,Zebreira,Agregação,União das freguesias de Zebreira e Segura
Castelo Branco,Idanha-a-Nova,Segura,Agregação,União das freguesias de Zebreira e Segura
Castelo Branco,Oleiros,Álvaro,Sem alteração,Álvaro
Castelo Branco,Oleiros,Cambas,Sem alteração,Cambas
Castelo Branco,Oleiros,Isna,Sem alteração,Isna
Castelo Branco,Oleiros,Madeirã,Sem alteração,Madeirã
Castelo Branco,Oleiros,Mosteiro,Sem alteração,Mosteiro
Castelo Branco,Oleiros,Orvalho,Sem alteração,Orvalho
Castelo Branco,Oleiros,Sarnadas de São Simão,Sem alteração,Sarnadas de São Simão
Castelo Branco,Oleiros,Sobral,Sem alteração,Sobral
Castelo Branco,Oleiros,Estreito,Agregação,Estreito - Vilar Barroco
Castelo Branco,Oleiros,Vilar Barroco,Agregação,Estreito - Vilar Barroco
Castelo Branco,Oleiros,Oleiros,Agregação,Oleiros - Amieira
Castelo Branco,Oleiros,Amieira,Agregação,Oleiros - Amieira
Castelo Branco,Penamacor,Aranhas,Sem alteração,Aranhas
Castelo Branco,Penamacor,Benquerença,Sem alteração,Benquerença
Castelo Branco,Penamacor,Meimão,Sem alteração,Meimão
Castelo Branco,Penamacor,Meimoa,Sem alteração,Meimoa
Castelo Branco,Penamacor,Penamacor,Sem alteração,Penamacor
Castelo Branco,Penamacor,Salvador,Sem alteração,Salvador
Castelo Branco,Penamacor,Vale da Senhora da Póvoa,Sem alteração,Vale da Senhora da Póvoa
Castelo Branco,Penamacor,Aldeia do Bispo,Agregação,"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires"
Castelo Branco,Penamacor,Águas,Agregação,"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires"
Castelo Branco,Penamacor,Aldeia de João Pires,Agregação,"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires"
Castelo Branco,Penamacor,Pedrógão de São Pedro,Agregação,União das freguesias de Pedrógão de São Pedro e Bemposta
Castelo Branco,Penamacor,Bemposta,Agregação,União das freguesias de Pedrógão de São Pedro e Bemposta
Castelo Branco,Proença-a-Nova,Montes da Senhora,Sem alteração,Montes da Senhora
Castelo Branco,Proença-a-Nova,São Pedro do Esteval,Sem alteração,São Pedro do Esteval
Castelo Branco,Proença-a-Nova,Proença-a-Nova,Agregação,União das freguesias de Proença-a-Nova e Peral
Castelo Branco,Proença-a-Nova,Peral,Agregação,União das freguesias de Proença-a-Nova e Peral
Castelo Branco,Proença-a-Nova,Sobreira Formosa,Agregação,União das freguesias de Sobreira Formosa e Alvito da Beira
Castelo Branco,Proença-a-Nova,Alvito da Beira,Agregação,União das freguesias de Sobreira Formosa e Alvito da Beira
Castelo Branco,Sertã,Cabeçudo,Sem alteração,Cabeçudo
Castelo Branco,Sertã,Carvalhal,Sem alteração,Carvalhal
Castelo Branco,Sertã,Castelo,Sem alteração,Castelo
Castelo Branco,Sertã,Pedrógão Pequeno,Sem alteração,Pedrógão Pequeno
Castelo Branco,Sertã,Sertã,Sem alteração,Sertã
Castelo Branco,Sertã,Troviscal,Sem alteração,Troviscal
Castelo Branco,Sertã,Várzea dos Cavaleiros,Sem alteração,Várzea dos Cavaleiros
Castelo Branco,Sertã,Cernache do Bonjardim,Agregação,"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais"
Castelo Branco,Sertã,Nesperal,Agregação,"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais"
Castelo Branco,Sertã,Palhais,Agregação,"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais"
Castelo Branco,Sertã,Cumeada,Agregação,União das freguesias de Cumeada e Marmeleiro
Castelo Branco,Sertã,Marmeleiro,Agregação,União das freguesias de Cumeada e Marmeleiro
Castelo Branco,Sertã,Ermida,Agregação,União das freguesias de Ermida e Figueiredo
Castelo Branco,Sertã,Figueiredo,Agregação,União das freguesias de Ermida e Figueiredo
Castelo Branco,Vila de Rei,Fundada,Sem alteração,Fundada
Castelo Branco,Vila de Rei,São João do Peso,Sem alteração,São João do Peso
Castelo Branco,Vila de Rei,Vila de Rei,Sem alteração,Vila de Rei
Castelo Branco,Vila Velha de Ródão,Fratel,Sem alteração,Fratel
Castelo Branco,Vila Velha de Ródão,Perais,Sem alteração,Perais
Castelo Branco,Vila Velha de Ródão,Sarnadas de Ródão,Sem alteração,Sarnadas de Ródão
Castelo Branco,Vila Velha de Ródão,Vila Velha de Ródão,Sem alteração,Vila Velha de Ródão
Coimbra,Arganil,Arganil,Sem alteração,Arganil
Coimbra,Arganil,Benfeita,Sem alteração,Benfeita
Coimbra,Arganil,Celavisa,Sem alteração,Celavisa
Coimbra,Arganil,Folques,Sem alteração,Folques
Coimbra,Arganil,Piódão,Sem alteração,Piódão
Coimbra,Arganil,Pomares,Sem alteração,Pomares
Coimbra,Arganil,Pombeiro da Beira,Sem alteração,Pombeiro da Beira
Coimbra,Arganil,São Martinho da Cortiça,Sem alteração,São Martinho da Cortiça
Coimbra,Arganil,Sarzedo,Sem alteração,Sarzedo
Coimbra,Arganil,Secarias,Sem alteração,Secarias
